player_a,player_b,monte_iter,time,won,rounds_a,rounds_b,time_per_round_a,time_per_round_b
monte_carlo,monte_carlo,100,41.245,A,14,13,1.469,1.590
monte_carlo,monte_carlo,100,57.708,A,24,23,1.202,1.254
monte_carlo,monte_carlo,100,107.485,A,34,33,1.562,1.647
monte_carlo,monte_carlo,100,67.972,B,24,24,1.424,1.408
monte_carlo,monte_carlo,100,60.984,B,28,28,1.090,1.088
monte_carlo,monte_carlo,100,51.541,B,21,22,1.246,1.153
monte_carlo,monte_carlo,100,93.104,B,31,32,1.509,1.447
monte_carlo,monte_carlo,100,41.436,A,14,13,1.485,1.587
monte_carlo,monte_carlo,100,44.394,A,18,17,1.230,1.309
monte_carlo,monte_carlo,100,82.262,A,28,27,1.490,1.502
monte_carlo,monte_carlo,200,127.879,A,28,27,2.323,2.327
monte_carlo,monte_carlo,200,89.182,A,18,17,2.510,2.587
monte_carlo,monte_carlo,200,133.991,B,20,20,3.456,3.243
monte_carlo,monte_carlo,200,144.135,A,28,27,2.601,2.641
monte_carlo,monte_carlo,200,132.568,B,31,31,2.190,2.085
monte_carlo,monte_carlo,300,217.545,B,34,34,3.245,3.153
monte_carlo,monte_carlo,300,133.996,A,14,13,4.851,5.082
monte_carlo,monte_carlo,300,256.357,A,35,34,3.692,3.739
monte_carlo,monte_carlo,300,274.703,B,29,28,4.757,4.884
monte_carlo,monte_carlo,300,132.195,A,15,14,4.493,4.627
monte_carlo,monte_carlo,400,309.148,A,22,23,6.681,7.050
monte_carlo,monte_carlo,400,201.479,A,24,24,4.214,4.180
monte_carlo,monte_carlo,400,186.566,A,16,16,5.827,5.833
monte_carlo,monte_carlo,400,354.956,A,24,23,7.409,7.701
monte_carlo,monte_carlo,400,236.780,B,22,22,5.507,5.255
monte_carlo,monte_carlo,400,167.276,A,16,16,5.224,5.230
monte_carlo,monte_carlo,500,345.723,A,32,32,5.480,5.324
monte_carlo,monte_carlo,500,384.269,A,27,27,7.185,7.047
monte_carlo,monte_carlo,500,249.490,A,16,15,8.000,8.099
monte_carlo,monte_carlo,500,278.320,A,26,26,5.422,5.282
monte_carlo,monte_carlo,500,382.810,B,23,23,8.553,8.090
monte_carlo,monte_carlo,500,458.452,B,24,24,9.785,9.316
